         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN    Mask
57441.518643 18.431198      NaN     5.0    49.0   o  0.0   1.20 210.90449 54.30295  8119.72  1800.62 3.98 3.40  15.0 -0.533    18.23 18.89 02a57441o0557o   0.142857   False
57441.526896 18.481707      NaN     4.0    47.0   o  0.0   1.16 210.90449 54.30295  8404.78  2375.34 3.78 3.38  24.9 -0.522    18.25 18.92 02a57441o0573o   0.127660   False
57441.531928 18.550302      NaN   -16.0    46.0   o  0.0   1.07 210.90449 54.30295  7280.22  2994.41 3.56 3.39  12.8 -0.491    18.26 18.93 02a57441o0583o  -0.304348   False
57441.552276 18.481707      NaN   -42.0    49.0   o  0.0   0.95 210.90449 54.30295  7282.03  2885.32 3.65 3.40  15.8 -0.483    18.27 18.94 02a57441o0622o  -0.816327   False
57466.479054 18.738855      NaN     3.0    37.0   o  0.0   1.22 210.90449 54.30295  8193.40  1486.08 4.58 3.60  16.4 -0.539    18.73 19.97 02a57466o0545o   0.135135    8192
57466.500550 18.847027      NaN     4.0    33.0   o  0.0   1.22 210.90449 54.30295  8492.24  2060.25 4.14 3.61  26.2 -0.544    18.77 20.03 02a57466o0585o   0.181818    True
57466.521973 18.720295      NaN    32.0    28.0   o  0.0   1.18 210.90449 54.30295  7377.32  2686.32 3.84 3.39  11.8 -0.514    18.81 20.05 02a57466o0625o   1.214286    True
57466.532670 19.051202      NaN   -39.0    29.0   o  0.0   1.17 210.90449 54.30295  7282.94  2884.16 3.84 3.43   9.9 -0.514    18.82 20.07 02a57466o0647o  -1.275862    8192
57470.480982 16.478793      NaN  -594.0   310.0   o  0.0   1.26 210.90449 54.30295  7272.50  2878.12 3.94 3.64  10.8 -0.488    16.46 16.46 02a57470o0553o  -1.909677 8388609
57474.485989 18.675237      NaN   -41.0    41.0   o  0.0   0.87 210.90449 54.30295  8147.83  1712.62 4.24 3.41  13.5 -0.525    18.71 19.95 02a57474o0492o  -0.951220    True
