         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57515.374441 19.241693      NaN   12    20 c    0   1.07 210.91068 54.31167  8554.75 10101.74 4.30 3.86  75.4 -0.415    19.60 21.66 02a57515o0326c   524288  25.249893
57515.383262 19.454622      NaN  -10    20 c    0   0.87 210.91068 54.31167  3106.41 10259.35 4.24 3.95 -48.5 -0.399    19.61 21.73 02a57515o0344c        0  25.249893
57515.385734 19.256669      NaN    8    21 c    0   0.95 210.91068 54.31167  8483.16 10022.21 4.17 3.76  74.5 -0.422    19.61 21.65 02a57515o0348c        0  26.049129
57515.386824 19.026525      NaN   28    20 c    0   0.89 210.91068 54.31167  3158.49 10343.82 4.28 3.97 -54.3 -0.402    19.61 21.70 02a57515o0350c        0  25.249893
57515.400161 19.063754      NaN   19    22 c    0   0.90 210.91068 54.31167  3192.99 10223.60 4.17 3.91 -48.5 -0.390    19.61 21.69 02a57515o0376c   524288  26.861815
57515.402098 19.302877      NaN  -50    23 c    0   1.03 210.91068 54.31167  2041.87   424.38 5.17 3.65 -16.0 -0.485    19.58 21.64 02a57515o0380c   524288  27.686768
57515.409082 19.351140      NaN  -19    22 c    0   1.19 210.91068 54.31167  1993.13   487.04 5.24 3.65 -15.0 -0.478    19.58 21.61 02a57515o0393c        0  26.861815
57515.410533 19.510313      NaN   -3    19 c    0   0.98 210.91068 54.31167  3152.05 10287.29 4.12 3.91 -42.6 -0.392    19.61 21.65 02a57515o0396c        0  24.465427
57545.329395 19.569016      NaN  -21    18 c    0   1.24 210.91068 54.31167  1120.97  8151.29 4.40 3.94 -56.1 -0.415    19.59 21.73 02a57545o0190c        0  23.697196
57545.338129 19.454622      NaN   -3    20 c    0   1.25 210.91068 54.31167  1108.08  8113.95 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c   524288  25.249893
57545.345896 19.510313      NaN   -9    19 c    0   0.95 210.91068 54.31167 10320.47  8233.28 4.55 3.63  80.2 -0.431    19.64 21.77 02a57545o0224c        0  24.465427
