         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57512.416849 19.169763      NaN   28.0  18.0   c  0.0   1.03 210.89573 54.31529  3635.08  8653.05 4.14 3.80 -62.0 -0.410    19.52 21.58 02a57512o0414c  1.333333        0
57515.371866 19.256669      NaN   -6.0  24.0   c  0.0   0.80 210.89573 54.31529  1977.55   505.11 5.35 3.74 -16.0 -0.483    19.58 21.68 02a57515o0321c -0.416667        0
57515.372987 19.212347      NaN  -10.0  25.0   c  0.0   1.12 210.89573 54.31529  7367.39   261.79 5.29 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c -0.560000   524288
57515.374441 19.510313      NaN    7.0  18.0   c  0.0   1.07 210.89573 54.31529  8537.37 10095.17 4.30 3.86  75.5 -0.415    19.60 21.66 02a57515o0326c  0.166667   524288
57515.383262 19.038793      NaN   35.0  19.0   c  0.0   1.04 210.89573 54.31529  3123.57 10265.94 4.24 3.95 -48.5 -0.399    19.61 21.73 02a57515o0344c  1.631579        0
57515.385734 19.510313      NaN    0.0  19.0   c  0.0   0.99 210.89573 54.31529  8465.80 10015.63 4.16 3.76  74.5 -0.422    19.61 21.65 02a57515o0348c -0.210526        0
57515.386824 19.569016      NaN    0.0  18.0   c  0.0   1.10 210.89573 54.31529  3175.64 10350.44 4.28 3.97 -54.3 -0.402    19.61 21.70 02a57515o0350c -0.222222        0
57515.400161 18.889197      NaN   48.0  19.0   c  0.0   1.04 210.89573 54.31529  3210.13 10230.22 4.17 3.92 -48.4 -0.390    19.61 21.69 02a57515o0376c  2.315789   524288
57515.402098 19.256669      NaN   13.0  21.0   c  0.0   0.94 210.89573 54.31529  2059.24   430.92 5.16 3.65 -15.9 -0.485    19.58 21.64 02a57515o0380c  0.428571   524288
57515.409082 19.351140      NaN    1.0  22.0   c  0.0   0.88 210.89573 54.31529  2010.50   493.57 5.24 3.65 -14.9 -0.478    19.58 21.61 02a57515o0393c -0.136364        0
57515.410533 19.241693      NaN   26.0  17.0   c  0.0   1.03 210.89573 54.31529  3169.20 10293.90 4.12 3.91 -42.5 -0.392    19.61 21.65 02a57515o0396c  1.294118        0
57545.329395 19.367717      NaN   12.0  19.0   c  0.0   1.03 210.89573 54.31529  1138.35  8157.39 4.40 3.94 -56.1 -0.415    19.59 21.73 02a57545o0190c  0.421053        0
57545.338129 19.401649      NaN   -8.0  21.0   c  0.0   1.00 210.89573 54.31529  1125.46  8120.06 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c -0.571429   524288
57545.345896 19.142275      NaN   24.0  20.0   c  0.0   0.90 210.89573 54.31529 10337.23  8241.54 4.56 3.63  80.2 -0.430    19.64 21.77 02a57545o0224c  1.000000        0
57545.355107 19.766969      NaN  -31.0  15.0   c  0.0   1.47 210.89573 54.31529  1183.89  8195.87 4.15 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c -2.333333  4194560
57545.356559 19.155932      NaN   23.0  20.0   c  0.0   0.87 210.89573 54.31529 10325.34  8203.86 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c  0.950000        0
