         MJD         m  dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57512.416849 19.454622 NaN  -28.0  20.0   c  0.0   0.84 210.89924 54.31835  3631.20  8659.10 4.14 3.80 -61.9 -0.410    19.52 21.58 02a57512o0414c -1.400000        0
57515.371866 19.256669 NaN    0.0  24.0   c  0.0   0.78 210.89924 54.31835  1973.83   511.26 5.35 3.74 -16.1 -0.483    19.58 21.68 02a57515o0321c  0.000000        0
57515.372987 19.089302 NaN    3.0  27.0   c  0.0   0.95 210.89924 54.31835  7371.27   255.67 5.30 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c  0.111111   524288
57515.374441 18.990530 NaN   32.0  20.0   c  0.0   1.05 210.89924 54.31835  8541.09 10089.02 4.30 3.86  75.5 -0.415    19.60 21.66 02a57515o0326c  1.600000   524288
57515.383262 19.510313 NaN   -4.0  19.0   c  0.0   0.94 210.89924 54.31835  3119.70 10272.09 4.24 3.95 -48.3 -0.399    19.61 21.73 02a57515o0344c -0.210526        0
57515.385734 19.510313 NaN   -2.0  19.0   c  0.0   1.03 210.89924 54.31835  8469.53 10009.49 4.16 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c -0.105263        0
57515.386824 19.212347 NaN   18.0  19.0   c  0.0   0.95 210.89924 54.31835  3171.77 10356.58 4.28 3.97 -54.2 -0.401    19.61 21.70 02a57515o0350c  0.947368        0
57515.400161 19.510313 NaN  -14.0  19.0   c  0.0   1.02 210.89924 54.31835  3206.26 10236.36 4.17 3.92 -48.3 -0.390    19.61 21.69 02a57515o0376c -0.736842   524288
57515.402098 19.302877 NaN  -15.0  23.0   c  0.0   0.96 210.89924 54.31835  2055.52   437.07 5.16 3.65 -15.9 -0.485    19.58 21.64 02a57515o0380c -0.652174   524288
57515.409082 19.256669 NaN   -9.0  24.0   c  0.0   0.79 210.89924 54.31835  2006.79   499.72 5.24 3.65 -14.9 -0.479    19.58 21.61 02a57515o0393c -0.375000        0
57515.410533 19.226921 NaN   20.0  18.0   c  0.0   1.09 210.89924 54.31835  3165.33 10300.04 4.12 3.91 -42.4 -0.391    19.61 21.65 02a57515o0396c  1.111111        0
57545.329395 19.026525 NaN   32.0  19.0   c  0.0   1.08 210.89924 54.31835  1134.61  8163.58 4.40 3.94 -56.1 -0.415    19.59 21.73 02a57545o0190c  1.684211        0
57545.338129 18.757738 NaN   51.0  21.0   c  0.0   1.00 210.89924 54.31835  1121.72  8126.24 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c  2.428571   524288
57545.345896 19.510313 NaN  -13.0  19.0   c  0.0   0.97 210.89924 54.31835 10332.86  8247.23 4.55 3.64  80.2 -0.430    19.64 21.77 02a57545o0224c -0.684211        0
57545.355107 19.367717 NaN   17.0  16.0   c  0.0   1.38 210.89924 54.31835  1180.15  8202.05 4.15 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c  1.062500  4194560
57545.356559 19.367717 NaN    5.0  20.0   c  0.0   0.88 210.89924 54.31835 10320.97  8209.55 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c  0.250000        0
57545.358980 19.183773 NaN   20.0  19.0   c  0.0   0.89 210.89924 54.31835 10378.03  8291.59 4.64 3.65  81.3 -0.434    19.64 21.79 02a57545o0251c  1.052632   524288
57545.361400 18.878500 NaN   42.0  20.0   c  0.0   0.94 210.89924 54.31835  1193.07  8084.77 4.39 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  2.100000        0
57545.371093 19.419021 NaN    2.0  20.0   c  0.0   1.08 210.89924 54.31835  1160.42  8145.44 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c  0.100000   524288
57545.380784 18.729535 NaN   57.0  20.0   c  0.0   1.19 210.89924 54.31835 10390.68  8178.92 4.68 3.68  80.3 -0.420    19.41 21.51 02a57545o0296c  2.850000        0
57545.390661 19.454622 NaN   -7.0  20.0   c  0.0   1.12 210.89924 54.31835 10353.13  8238.75 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c -0.350000        0
57549.332077 19.510313 NaN   -7.0  19.0   c  0.0   1.25 210.89924 54.31835  2422.45  9689.23 4.08 3.84 -55.0 -0.424    19.44 21.31 02a57549o0078c -0.368421        0
57549.342782 19.226921 NaN   14.0  20.0   c  0.0   1.26 210.89924 54.31835  2412.29  9649.45 4.17 3.87 -53.7 -0.416    19.44 21.33 02a57549o0100c  0.700000        0
57549.359807 18.978793 NaN   30.0  21.0   c  0.0   0.86 210.89924 54.31835  2468.63  9724.87 4.12 3.83 -48.3 -0.419    19.46 21.36 02a57549o0135c  1.428571   524288
57549.367069 19.256669 NaN   -5.0  24.0   c  0.0   0.84 210.89924 54.31835  2481.28  9608.06 4.12 3.84 -53.6 -0.423    19.47 21.39 02a57549o0150c -0.208333  4194560
57549.375839 18.878500 NaN   42.0  20.0   c  0.0   1.13 210.89924 54.31835  2449.83  9671.78 4.25 3.90 -49.2 -0.416    19.49 21.47 02a57549o0168c  2.100000        0
57581.293250 19.302877 NaN  -25.0  23.0   c  0.0   1.28 210.89924 54.31835  3752.50  6926.29 4.17 3.83 -77.1 -0.443    19.01 20.64 02a57581o0088c -1.086957   524288
57581.304631 18.889197 NaN   17.0  28.0   c  0.0   0.91 210.89924 54.31835  3739.91  6884.93 4.12 3.85 -62.2 -0.443    19.01 20.65 02a57581o0111c  0.607143        0
57581.321240 18.816441 NaN   33.0  25.0   c  0.0   1.05 210.89924 54.31835  3795.31  6959.44 3.97 3.69 -62.9 -0.451    19.00 20.58 02a57581o0145c  1.320000        0
57581.328019 18.847027 NaN   24.0  27.0   c  0.0   0.99 210.89924 54.31835  3807.68  6842.06 3.92 3.63 -72.2 -0.454    19.00 20.57 02a57581o0159c  0.888889        0
57581.338880 18.738855 NaN   38.0  26.0   c  0.0   0.97 210.89924 54.31835  3774.93  6901.04 3.99 3.68 -66.0 -0.453    18.93 20.48 02a57581o0181c  1.461538        0
57605.257770 18.847027 NaN  -72.0  35.0   c  0.0   1.23 210.89924 54.31835  4015.78  7001.07 4.26 3.91  41.4 -0.371    18.85 21.71 02a57605o0052c -2.057143  4194560
57605.266058 18.757738 NaN  -55.0  38.0   c  0.0   0.90 210.89924 54.31835  3992.85  6960.50 4.44 4.23  41.7 -0.399    18.84 21.70 02a57605o0066c -1.447368   532480
57605.277177 18.343209 NaN   26.0  47.0   c  0.0   0.77 210.89924 54.31835  4049.05  7033.98 5.25 5.14  64.4 -0.324    18.70 21.72 02a57605o0085c  0.553191  4194560
57605.290850 19.256669 NaN  -45.0  24.0   c  0.0   1.04 210.89924 54.31835  4072.71  6917.90 4.92 4.71 -64.7 -0.356    19.19 21.41 02a57605o0109c -1.875000  4194560
