         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 19.401649      NaN   -9    21 c    0   0.81 210.91068 54.32112  7749.87  2238.27 4.00 3.60   7.8 -0.428    19.59 21.57 02a57396o0607c -0.380952   524288
57396.598947 19.454622      NaN  -12    20 c    0   0.99 210.91068 54.32112  7463.59  1665.26 4.10 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c -0.550000   524288
57396.614233 18.496580      NaN   21    41 c    0   0.65 210.91068 54.32112  8276.98  2809.32 3.80 3.60  19.9 -0.419    19.60 21.56 02a57396o0650c  0.536585   524288
57396.627717 18.649074      NaN  -10    42 c    0   1.05 210.91068 54.32112  8539.43  1047.85 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c -0.214286   524288
57424.598946 19.510313      NaN   -2    19 c    0   0.99 210.91068 54.32112  8248.34  1564.07 4.33 3.76  10.2 -0.440    19.70 21.79 02a57424o0633c -0.052632        0
57424.604067 19.510313      NaN  -14    19 c    0   1.01 210.91068 54.32112  8512.22  2134.18 4.25 3.83  15.1 -0.423    19.68 21.79 02a57424o0641c -0.684211        0
57424.621336 19.183773      NaN   22    18 c    0   1.03 210.91068 54.32112  7357.17  2751.83 4.02 3.71   9.7 -0.416    19.70 21.79 02a57424o0667c  1.277778   524288
57424.633626 19.351140      NaN   14    17 c    0   0.96 210.91068 54.32112  7280.13  2845.68 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c  0.882353        0
57448.521048 18.967180      NaN   21    24 c    0   0.97 210.91068 54.32112  7915.02  1755.00 4.00 3.65  14.8 -0.450    19.26 20.81 02a57448o0458c  0.916667        0
57448.543577 19.351140      NaN  -13    22 c    0   1.04 210.91068 54.32112  8206.90  2335.34 3.94 3.73  22.7 -0.441    19.21 20.77 02a57448o0497c -0.545455   524288
57448.565924 18.574166      NaN   62    24 c    0   1.06 210.91068 54.32112  7066.39  2957.58 4.38 3.91  -1.2 -0.389    19.09 20.75 02a57448o0536c  2.625000        0
57448.596475 19.256669      NaN    5    22 c    0   0.97 210.91068 54.32112  3361.82  7840.53 3.87 3.61 -70.4 -0.422    19.20 20.80 02a57448o0592c  0.272727        0
57449.515332 19.351140      NaN  -15    22 c    0   0.95 210.91068 54.32112  8151.70  1705.62 4.05 3.63  15.3 -0.462    19.45 21.19 02a57449o0610c -0.636364        0
57449.538360 19.051202      NaN   23    21 c    0   0.87 210.91068 54.32112  8449.99  2283.50 3.82 3.59  30.0 -0.457    19.42 21.11 02a57449o0650c  1.142857        0
57449.558557 18.990530      NaN   37    18 c    0   1.10 210.91068 54.32112  7309.73  2911.15 3.78 3.62  14.6 -0.428    19.39 21.07 02a57449o0688c  2.111111        0
57449.570520 19.454622      NaN   -5    20 c    0   0.99 210.91068 54.32112  7291.61  2850.49 3.76 3.57  17.7 -0.440    19.39 21.06 02a57449o0709c -0.200000        0
57458.509881 19.302877      NaN   11    19 c    0   1.07 210.91068 54.32112  8234.21  1558.15 4.32 3.77  15.3 -0.446    19.65 21.70 02a57458o0606c  0.631579   524288
57458.513259 19.454622      NaN   -4    20 c    0   0.94 210.91068 54.32112  8519.98  2126.93 4.21 3.90  23.5 -0.426    19.61 21.68 02a57458o0613c -0.150000        0
57458.536888 19.569016      NaN  -24    18 c    0   0.76 210.91068 54.32112  7393.22  2752.60 4.12 3.83   2.0 -0.403    19.60 21.68 02a57458o0653c -1.277778  4195328
57458.567769 19.454622      NaN    5    18 c    0   0.89 210.91068 54.32112  3358.12  7838.44 3.85 3.61 -73.0 -0.421    19.64 21.68 02a57458o0708c  0.333333   524288
57488.426551 19.063754      NaN   25    20 c    0   1.00 210.91068 54.32112  8366.53  1630.45 4.33 3.81  19.9 -0.478    19.60 21.59 02a57488o0373c  1.300000   524288
57488.444090 19.401649      NaN    2    20 c    0   1.13 210.91068 54.32112  8653.82  2186.92 4.18 3.80  29.2 -0.461    19.60 21.61 02a57488o0405c  0.150000        0
57488.465855 19.401649      NaN  -10    21 c    0   0.90 210.91068 54.32112  7532.11  2833.88 4.06 3.72  15.4 -0.447    19.57 21.56 02a57488o0444c -0.428571   524288
57488.475297 19.318728      NaN   10    19 c    0   0.90 210.91068 54.32112  3344.16  7830.11 3.99 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c  0.578947        0
57512.362600 19.510313      NaN   -1    19 c    0   1.27 210.91068 54.32112  9553.88  2697.24 4.67 4.15  38.1 -0.436    19.51 21.58 02a57512o0305c  0.000000        0
