         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57396.587948 19.454622      NaN  -11.0  20.0   c  0.0   1.05 210.89573 54.30806  7733.58  2264.22 3.99 3.60   7.7 -0.427    19.59 21.57 02a57396o0607c -0.750000 8388609
57396.598947 19.367717      NaN   18.0  17.0   c  0.0   1.14 210.89573 54.30806  7447.20  1691.20 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c  0.823529 8388609
57396.614233 18.847027      NaN  -91.0  35.0   c  0.0   1.03 210.89573 54.30806  8260.84  2835.33 3.80 3.60  20.1 -0.418    19.60 21.56 02a57396o0650c -2.714286 8388609
57396.627717 18.292405      NaN   47.0  44.0   c  0.0   1.13 210.89573 54.30806  8523.22  1074.16 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0.977273 8388609
57424.598946 18.738855      NaN   60.0  20.0   c  0.0   0.86 210.89573 54.30806  8232.10  1590.22 4.32 3.76  10.2 -0.440    19.70 21.79 02a57424o0633c  2.800000    True
57424.604067 19.510313      NaN   -5.0  19.0   c  0.0   0.98 210.89573 54.30806  8496.08  2160.32 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c -0.473684    8192
57424.621336 19.384550      NaN   17.0  17.0   c  0.0   0.93 210.89573 54.30806  7340.78  2777.61 4.01 3.71   9.7 -0.415    19.70 21.79 02a57424o0667c  0.764706    True
57424.633626 19.696897      NaN    0.0  16.0   c  0.0   1.08 210.89573 54.30806  7263.72  2871.43 3.96 3.67  11.3 -0.418    19.70 21.79 02a57424o0685c -0.250000    8192
57448.521048 19.169763      NaN  -25.0  26.0   c  0.0   0.77 210.89573 54.30806  7898.73  1781.04 4.00 3.65  14.8 -0.450    19.26 20.81 02a57448o0458c -1.115385   False
57448.543577 19.256669      NaN  -22.0  24.0   c  0.0   0.90 210.89573 54.30806  8190.70  2361.37 3.94 3.73  22.9 -0.440    19.21 20.77 02a57448o0497c -1.083333    True
57448.565924 19.183773      NaN   12.0  23.0   c  0.0   1.13 210.89573 54.30806  7049.94  2983.27 4.38 3.91  -1.3 -0.388    19.09 20.75 02a57448o0536c  0.347826   False
57448.596475 19.115465      NaN   20.0  22.0   c  0.0   1.23 210.89573 54.30806  3378.20  7814.75 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c  0.727273   False
57449.515332 19.142275      NaN   21.0  21.0   c  0.0   0.93 210.89573 54.30806  8135.46  1731.73 4.04 3.63  15.3 -0.462    19.45 21.19 02a57449o0610c  0.809524   False
57449.538360 19.454622      NaN  -41.0  20.0   c  0.0   0.93 210.89573 54.30806  8433.84  2309.60 3.82 3.59  30.3 -0.456    19.42 21.11 02a57449o0650c -2.250000   False
57449.558557 19.454622      NaN   -1.0  20.0   c  0.0   0.97 210.89573 54.30806  7293.34  2936.91 3.78 3.62  14.6 -0.427    19.39 21.07 02a57449o0688c -0.250000   False
57449.570520 19.367717      NaN   12.0  19.0   c  0.0   1.11 210.89573 54.30806  7275.21  2876.25 3.75 3.57  17.8 -0.439    19.39 21.06 02a57449o0709c  0.421053   False
57458.509881 19.569016      NaN    3.0  18.0   c  0.0   1.07 210.89573 54.30806  8217.97  1584.30 4.31 3.77  15.2 -0.446    19.65 21.70 02a57458o0606c -0.055556    True
57458.513259 19.510313      NaN  -32.0  19.0   c  0.0   1.07 210.89573 54.30806  8503.84  2153.08 4.20 3.90  23.6 -0.426    19.61 21.68 02a57458o0613c -1.894737    8192
57458.536888 19.183773      NaN   24.0  19.0   c  0.0   0.81 210.89573 54.30806  7376.84  2778.39 4.12 3.83   1.8 -0.402    19.60 21.68 02a57458o0653c  1.052632    True
57458.567769 19.401649      NaN   13.0  18.0   c  0.0   0.92 210.89573 54.30806  3374.51  7812.65 3.85 3.61 -73.1 -0.421    19.64 21.68 02a57458o0708c  0.500000    True
57488.426551 19.142275      NaN   24.0  20.0   c  0.0   0.90 210.89573 54.30806  8350.33  1656.63 4.32 3.81  19.9 -0.477    19.60 21.59 02a57488o0373c  1.000000   False
57488.444090 19.454622      NaN   -3.0  20.0   c  0.0   1.03 210.89573 54.30806  8637.72  2213.09 4.17 3.80  29.4 -0.461    19.60 21.61 02a57488o0405c -0.350000   False
57488.465855 19.510313      NaN  -31.0  19.0   c  0.0   0.85 210.89573 54.30806  7515.77  2859.69 4.05 3.72  15.4 -0.446    19.57 21.56 02a57488o0444c -1.842105    True
57488.475297 19.569016      NaN   -2.0  18.0   c  0.0   1.31 210.89573 54.30806  3360.54  7804.32 3.98 3.61 -65.1 -0.439    19.55 21.54 02a57488o0460c -0.333333   False
57512.362600 19.351140      NaN   -5.0  22.0   c  0.0   0.89 210.89573 54.30806  9538.00  2723.60 4.66 4.15  38.3 -0.435    19.51 21.58 02a57512o0305c -0.409091   False
57512.371077 19.334813      NaN    5.0  22.0   c  0.0   0.94 210.89573 54.30806  9560.90  2759.90 4.57 4.07  39.6 -0.440    19.53 21.60 02a57512o0322c  0.045455    True
57512.373986 19.569016      NaN  -10.0  18.0   c  0.0   1.29 210.89573 54.30806   352.47  2645.02 5.07 3.82 -34.3 -0.412    19.58 21.60 02a57512o0328c -0.777778    True
57512.383392 19.351140      NaN   -6.0  22.0   c  0.0   0.81 210.89573 54.30806   372.32  2682.18 5.11 3.92 -34.1 -0.413    19.54 21.60 02a57512o0347c -0.454545   False
57512.386899 19.510313      NaN    0.0  19.0   c  0.0   1.05 210.89573 54.30806  1002.65  7884.77 4.45 3.81 -58.4 -0.429    19.55 21.63 02a57512o0354c -0.210526    True
57512.388945 19.569016      NaN  -21.0  18.0   c  0.0   1.14 210.89573 54.30806   306.44  2605.71 5.16 3.88 -31.6 -0.403    19.57 21.61 02a57512o0358c -1.388889    True
