         MJD         m       dm      uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57441.518643 18.376212      NaN    -34.0    54.0   o  0.0     1.08 210.92687 54.31167  8144.64  1782.67 3.98 3.40  15.2 -0.534    18.23 18.89 02a57441o0557o  -0.648148        0
57441.526896 18.459772      NaN    -29.0    50.0   o  0.0     1.03 210.92687 54.31167  8429.64  2357.34 3.79 3.38  25.0 -0.523    18.25 18.92 02a57441o0573o  -0.600000        0
57441.531928 18.163834      NaN     54.0    48.0   o  0.0     0.90 210.92687 54.31167  7305.18  2976.86 3.57 3.39  13.2 -0.491    18.26 18.93 02a57441o0583o   1.104167        0
57441.552276 18.459772      NaN    -73.0    50.0   o  0.0     0.86 210.92687 54.31167  7307.00  2867.77 3.65 3.40  16.0 -0.483    18.27 18.94 02a57441o0622o  -1.480000        0
57466.479054 18.606822      NaN      9.0    41.0   o  0.0     1.00 210.92687 54.31167  8218.34  1468.07 4.59 3.60  16.5 -0.540    18.73 19.97 02a57466o0545o   0.195122        0
57466.500550 18.389700      NaN     41.0    40.0   o  0.0     0.80 210.92687 54.31167  8517.12  2042.20 4.14 3.61  26.3 -0.544    18.77 20.03 02a57466o0585o   1.000000   524288
57466.521973 19.014394      NaN    -36.0    30.0   o  0.0     1.20 210.92687 54.31167  7402.30  2668.73 3.84 3.39  11.9 -0.514    18.81 20.05 02a57466o0625o  -1.233333   524288
57466.532670 19.051202      NaN    -37.0    29.0   o  0.0     1.26 210.92687 54.31167  7307.92  2866.62 3.85 3.43  10.1 -0.514    18.82 20.07 02a57466o0647o  -1.310345        0
57470.480982 16.081428      NaN    397.0   315.0   o  0.0     1.31 210.92687 54.31167  7297.47  2860.57 3.95 3.64  11.0 -0.489    16.46 16.46 02a57470o0553o   1.257143 12584962
57474.485989 18.816441      NaN    -35.0    36.0   o  0.0     1.29 210.92687 54.31167  8172.77  1694.66 4.25 3.41  13.6 -0.526    18.71 19.95 02a57474o0492o  -1.000000   524288
57474.506959 18.878500      NaN      1.0    34.0   o  0.0     0.89 210.92687 54.31167  2174.84  8422.07 4.03 3.43 -65.4 -0.490    18.70 19.95 02a57474o0529o   0.000000        0
57474.528572 18.826541      NaN     21.0    29.0   o  0.0     1.26 210.92687 54.31167  3289.61  7801.10 3.70 3.23 -71.1 -0.491    18.72 19.91 02a57474o0566o   0.689655        0
57474.543901 18.944322      NaN    -14.0    32.0   o  0.0     1.03 210.92687 54.31167  3313.87  7825.90 3.82 3.26 -69.9 -0.508    18.69 19.92 02a57474o0592o  -0.468750   524288
57492.402356 18.738855      NaN     27.0    30.0   o  0.0     0.98 210.92687 54.31167  8233.16  1755.24 4.08 3.65  24.7 -0.505    19.02 20.45 02a57492o0382o   0.866667        0
57492.415099 19.212347      NaN     -2.0    25.0   o  0.0     0.97 210.92687 54.31167  8518.30  2323.83 3.81 3.54  36.0 -0.502    19.10 20.55 02a57492o0405o  -0.120000   524288
57492.430506 19.351140      NaN    -37.0    22.0   o  0.0     1.23 210.92687 54.31167  7380.16  2952.42 3.67 3.53  31.4 -0.475    19.11 20.59 02a57492o0433o  -1.727273   524288
57492.449596 19.351140      NaN    -13.0    22.0   o  0.0     0.99 210.92687 54.31167  7302.22  2857.37 3.74 3.58  20.1 -0.459    19.13 20.66 02a57492o0472o  -0.636364        0
57523.355574 18.910912      NaN    -60.0    33.0   o  0.0     0.84 210.92687 54.31167  6186.67  1386.14 4.31 3.45   1.8 -0.534    18.86 20.17 02a57523o0219o  -1.848485   524288
57523.364398 19.014394      NaN    -15.0    30.0   o  0.0     1.06 210.92687 54.31167  4293.54  9112.73 3.89 3.60 -78.3 -0.470    18.84 20.22 02a57523o0237o  -0.533333        0
57523.381095 18.978793      NaN    -28.0    31.0   o  0.0     1.08 210.92687 54.31167  4356.71  9194.81 3.84 3.59 -75.5 -0.464    18.84 20.19 02a57523o0271o  -0.935484        0
57523.387699 18.767304      NaN     30.0    28.0   o  0.0     1.36 210.92687 54.31167  4381.21  9080.01 3.94 3.65 -75.2 -0.455    18.81 20.18 02a57523o0284o   1.035714        0
57523.409491 18.978793      NaN    -14.0    31.0   o  0.0     1.06 210.92687 54.31167  4338.36  9140.26 3.83 3.53 -77.6 -0.473    18.80 20.13 02a57523o0325o  -0.483871        0
57527.358027 18.649074      NaN    -32.0    42.0   o  0.0     1.16 210.92687 54.31167  2644.75  9387.55 4.16 3.76 -55.1 -0.470    18.46 19.51 02a57527o0104o  -0.785714   524288
57527.369297 18.574166      NaN    -14.0    45.0   o  0.0     1.19 210.92687 54.31167  2630.42  9351.94 4.32 3.88 -46.6 -0.458    18.41 19.50 02a57527o0126o  -0.333333        0
57527.371716 18.649074      NaN     -2.0    42.0   o  0.0     1.25 210.92687 54.31167  2689.11  9431.00 4.06 3.66 -56.8 -0.479    18.46 19.48 02a57527o0131o  -0.071429        0
57527.394983 18.526952      NaN    -38.0    47.0   o  0.0     0.89 210.92687 54.31167  2710.23  9315.92 4.33 3.86 -63.2 -0.461    18.38 19.45 02a57527o0177o  -0.829787   524288
57527.405379 18.445391      NaN     12.0    47.0   o  0.0     0.84 210.92687 54.31167  2679.59  9375.36 4.34 3.86 -61.1 -0.456    18.37 19.43 02a57527o0198o   0.234043   524288
57535.336981 15.785602      NaN   -718.0   587.0   o  0.0     1.21 210.92687 54.31167  2434.22  8207.84 3.91 3.44 -66.2 -0.480    15.47 16.84 02a57535o0225o  -1.224872  4196354
57535.346198 17.400292      NaN     21.0   126.0   o  0.0     1.10 210.92687 54.31167  2422.54  8166.90 3.84 3.38 -66.0 -0.484    17.61 19.09 02a57535o0244o   0.158730   524288
57535.363162 17.283991      NaN    138.0   102.0   o  0.0     0.44 210.92687 54.31167  2482.01  8242.13 3.86 3.45 -67.1 -0.475    18.26 19.82 02a57535o0278o   1.343137        0
57535.369944 18.702047      NaN     28.0    31.0   o  0.0     0.94 210.92687 54.31167  2496.05  8125.21 3.85 3.44 -65.9 -0.459    18.86 20.44 02a57535o0292o   0.870968        0
57535.380630 19.256669      NaN    -37.0    24.0   o  0.0     1.18 210.92687 54.31167  2461.71  8192.04 3.85 3.47 -62.4 -0.454    19.07 20.70 02a57535o0313o  -1.583333        0
57568.311481 19.256669      NaN    -27.0    24.0   o  0.0     1.15 210.92687 54.31167  2659.40  7882.91 3.89 3.50 -65.8 -0.470    19.04 20.65 02a57568o0155o  -1.166667   524288
57568.321807 18.767304      NaN     27.0    29.0   o  0.0     0.80 210.92687 54.31167  2647.65  7840.71 3.78 3.41 -65.6 -0.475    19.08 20.69 02a57568o0176o   0.896552  4194560
57568.337986 18.623526 0.260913    130.0    31.0   o  0.0     1.01 210.92687 54.31167  2703.56  7915.07 3.85 3.46 -62.5 -0.469    19.09 20.74 02a57568o0209o   4.161290   528384
57568.343307 19.256669      NaN    -18.0    24.0   o  0.0     1.15 210.92687 54.31167  2715.17  7797.07 3.78 3.38 -66.8 -0.460    19.12 20.79 02a57568o0220o  -0.791667        0
57568.356106 19.169763      NaN    -26.0    26.0   o  0.0     0.87 210.92687 54.31167  2682.06  7856.86 3.76 3.40 -64.3 -0.463    19.13 20.81 02a57568o0246o  -1.038462   524288
57589.280444 17.829663      NaN     74.0    65.0   o  0.0     1.15 210.92687 54.31167  2861.45  9838.65 3.78 3.57 -43.6 -0.495    18.28 19.15 02a57589o0116o   1.123077     8192
57589.288075 21.514394      NaN    -43.0     3.0   o  0.0 88709.00 210.92687 54.31167  1677.56    32.64 5.07 3.14  -8.5 -0.495    18.20 19.05 02a57589o0131o -14.666667  4196353
