         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN     Mask
57396.587948 19.569016      NaN   -6    18 c    0   1.09 210.92687 54.31167  7768.70  2256.06 3.99 3.60   8.0 -0.427    19.59 21.57 02a57396o0607c -0.277778   524288
57396.598947 19.115465      NaN   24    19 c    0   1.16 210.92687 54.31167  7482.35  1683.15 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  1.315789   524288
57396.614233 18.286218      NaN   61    38 c    0   1.08 210.92687 54.31167  8295.96  2826.97 3.80 3.60  20.5 -0.418    19.60 21.56 02a57396o0650c  1.631579   524288
57396.627717 18.675237      NaN  -33    41 c    0   1.37 210.92687 54.31167  8558.47  1065.53 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c -0.780488   524288
57424.598946 19.454622      NaN  -21    20 c    0   0.87 210.92687 54.31167  8267.29  1581.80 4.32 3.76  10.4 -0.440    19.70 21.79 02a57424o0633c -1.000000        0
57424.604067 19.569016      NaN  -12    18 c    0   0.98 210.92687 54.31167  8531.25  2151.82 4.25 3.83  15.3 -0.423    19.68 21.79 02a57424o0641c -0.611111        0
57424.621336 19.609992      NaN    0    17 c    0   1.35 210.92687 54.31167  7375.88  2769.71 4.01 3.71  10.0 -0.415    19.70 21.79 02a57424o0667c  0.058824   524288
57424.633626 19.696897      NaN  -15    16 c    0   1.21 210.92687 54.31167  7298.82  2863.58 3.96 3.67  11.6 -0.418    19.70 21.79 02a57424o0685c -0.875000        0
57448.521048 19.038793      NaN   15    24 c    0   0.90 210.92687 54.31167  7933.89  1772.79 4.00 3.65  15.2 -0.450    19.26 20.81 02a57448o0458c  0.666667        0
57448.543577 19.302877      NaN   -8    23 c    0   0.78 210.92687 54.31167  8225.85  2353.03 3.94 3.73  23.4 -0.440    19.21 20.77 02a57448o0497c -0.304348   524288
57448.565924 19.351140      NaN   -5    22 c    0   1.26 210.92687 54.31167  7085.03  2975.51 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c -0.181818        0
57448.596475 19.142275      NaN   16    21 c    0   1.25 210.92687 54.31167  3343.11  7822.65 3.87 3.61 -70.2 -0.422    19.20 20.80 02a57448o0592c  0.809524        0
57449.515332 18.978793      NaN   29    21 c    0   1.18 210.92687 54.31167  8170.64  1723.36 4.04 3.63  15.6 -0.462    19.45 21.19 02a57449o0610c  1.428571        0
57449.538360 18.796518      NaN   46    21 c    0   0.89 210.92687 54.31167  8469.00  2301.14 3.82 3.59  30.8 -0.457    19.42 21.11 02a57449o0650c  2.238095        0
57449.558557 19.454622      NaN  -42    20 c    0   1.00 210.92687 54.31167  7328.44  2929.03 3.78 3.62  15.3 -0.427    19.39 21.07 02a57449o0688c -2.050000        0
57449.570520 19.351140      NaN  -16    22 c    0   0.84 210.92687 54.31167  7310.31  2868.38 3.75 3.57  18.5 -0.439    19.39 21.06 02a57449o0709c -0.681818        0
57458.509881 19.419021      NaN    4    19 c    0   0.96 210.92687 54.31167  8253.17  1575.87 4.32 3.77  15.5 -0.446    19.65 21.70 02a57458o0606c  0.263158   524288
57458.513259 19.569016      NaN   -7    18 c    0   1.05 210.92687 54.31167  8539.01  2144.56 4.21 3.91  24.0 -0.426    19.61 21.68 02a57458o0613c -0.333333        0
57458.536888 19.631075      NaN  -37    17 c    0   0.92 210.92687 54.31167  7411.94  2770.46 4.12 3.83   2.2 -0.403    19.60 21.68 02a57458o0653c -2.117647  4195328
57458.567769 19.696897      NaN  -12    16 c    0   1.46 210.92687 54.31167  3339.41  7820.55 3.85 3.61 -72.8 -0.421    19.64 21.68 02a57458o0708c -0.687500   524288
57488.426551 19.419021      NaN    1    20 c    0   1.02 210.92687 54.31167  8385.52  1648.14 4.32 3.81  20.3 -0.478    19.60 21.59 02a57488o0373c  0.100000   524288
57488.444090 19.569016      NaN   -9    18 c    0   1.20 210.92687 54.31167  8672.89  2204.51 4.18 3.80  29.8 -0.461    19.60 21.61 02a57488o0405c -0.444444        0
57488.465855 19.510313      NaN  -43    19 c    0   1.05 210.92687 54.31167  7550.87  2851.71 4.05 3.72  15.9 -0.447    19.57 21.56 02a57488o0444c -2.210526   524288
57488.475297 19.631075      NaN   -6    17 c    0   1.24 210.92687 54.31167  3325.45  7812.22 3.99 3.61 -64.9 -0.438    19.55 21.54 02a57488o0460c -0.294118        0
57512.362600 18.933071      NaN   33    21 c    0   0.97 210.92687 54.31167  9573.22  2714.61 4.67 4.15  38.5 -0.436    19.51 21.58 02a57512o0305c  1.619048        0
57512.371077 19.155932      NaN   15    21 c    0   1.06 210.92687 54.31167  9596.12  2750.90 4.57 4.08  39.9 -0.441    19.53 21.60 02a57512o0322c  0.761905   524288
57512.373986 19.401649      NaN  -30    21 c    0   0.89 210.92687 54.31167   388.54  2640.39 5.06 3.82 -34.1 -0.413    19.58 21.60 02a57512o0328c -1.380952   524288
57512.383392 19.302877      NaN    8    20 c    0   1.20 210.92687 54.31167   408.38  2677.55 5.10 3.92 -33.9 -0.414    19.54 21.60 02a57512o0347c  0.450000        0
57512.386899 19.631075      NaN  -31    17 c    0   1.42 210.92687 54.31167   967.43  7893.83 4.46 3.82 -58.3 -0.428    19.55 21.63 02a57512o0354c -1.764706   524288
57512.388945 18.990530      NaN   34    19 c    0   1.19 210.92687 54.31167   342.53  2601.11 5.15 3.88 -31.4 -0.404    19.57 21.61 02a57512o0358c  1.842105   524288
57512.397027 19.696897      NaN  -50    16 c    0   1.98 210.92687 54.31167   997.92  7774.58 4.39 3.76 -57.8 -0.428    19.55 21.60 02a57512o0374c -3.062500   528384
57512.407432 19.454622      NaN  -19    20 c    0   0.88 210.92687 54.31167 10189.54  7838.05 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c -0.900000        0
57512.416849 19.454622      NaN   -1    20 c    0   1.14 210.92687 54.31167  3599.69  8646.77 4.15 3.80 -61.8 -0.410    19.52 21.58 02a57512o0414c  0.000000        0
57515.371866 19.351140      NaN  -16    22 c    0   1.07 210.92687 54.31167  1941.70   499.25 5.36 3.74 -16.2 -0.483    19.58 21.68 02a57515o0321c -0.681818        0
57515.372987 19.051202      NaN   11    25 c    0   1.27 210.92687 54.31167  7402.93   267.90 5.29 3.91  10.4 -0.491    19.61 21.70 02a57515o0323c  0.480000   524288
57515.374441 19.212347      NaN   17    19 c    0   1.09 210.92687 54.31167  8573.22 10101.14 4.30 3.86  75.4 -0.415    19.60 21.66 02a57515o0326c  0.947368   524288
57515.383262 19.318728      NaN   10    19 c    0   0.98 210.92687 54.31167  3088.00 10259.92 4.24 3.95 -48.4 -0.400    19.61 21.73 02a57515o0344c  0.578947        0
57515.385734 19.367717      NaN    1    21 c    0   0.73 210.92687 54.31167  8501.63 10021.62 4.17 3.76  74.5 -0.422    19.61 21.65 02a57515o0348c  0.095238        0
57515.386824 19.401649      NaN   -5    21 c    0   1.22 210.92687 54.31167  3140.08 10344.38 4.28 3.97 -54.2 -0.401    19.61 21.70 02a57515o0350c -0.190476        0
