         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN    Mask
57515.374441 19.510313      NaN    3    18 c    0   0.98 210.92564 54.30806  8572.15 10108.29 4.30 3.86  75.3 -0.414    19.60 21.66 02a57515o0326c  0.166667    True
57515.383262 19.472870      NaN    5    18 c    0   1.06 210.92564 54.30806  3089.25 10252.78 4.24 3.95 -48.5 -0.400    19.61 21.73 02a57515o0344c  0.277778   False
57515.385734 19.569016      NaN  -12    18 c    0   1.15 210.92564 54.30806  8500.54 10028.77 4.17 3.76  74.4 -0.422    19.61 21.65 02a57515o0348c -0.666667   False
57515.386824 19.351140      NaN   12    18 c    0   1.19 210.92564 54.30806  3141.33 10337.24 4.28 3.96 -54.3 -0.402    19.61 21.70 02a57515o0350c  0.666667   False
57515.400161 19.197966      NaN   16    20 c    0   0.86 210.92564 54.30806  3175.83 10217.01 4.17 3.91 -48.5 -0.390    19.61 21.69 02a57515o0376c  0.800000    True
57515.402098 19.212347      NaN    6    23 c    0   0.76 210.92564 54.30806  2024.48   417.87 5.18 3.65 -16.0 -0.484    19.58 21.64 02a57515o0380c  0.260870    True
57515.409082 19.038793      NaN   16    24 c    0   0.85 210.92564 54.30806  1975.73   480.54 5.25 3.65 -15.0 -0.478    19.58 21.61 02a57515o0393c  0.666667   False
57515.410533 19.454622      NaN  -14    20 c    0   0.82 210.92564 54.30806  3134.89 10280.70 4.12 3.91 -42.7 -0.393    19.61 21.65 02a57515o0396c -0.700000   False
57545.329395 19.155932      NaN   22    19 c    0   1.04 210.92564 54.30806  1103.57  8145.20 4.40 3.94 -56.1 -0.415    19.59 21.73 02a57545o0190c  1.157895   False
57545.338129 19.510313      NaN  -15    19 c    0   1.02 210.92564 54.30806  1090.68  8107.86 4.40 3.93 -61.1 -0.432    19.58 21.75 02a57545o0208c -0.789474    True
57545.345896 19.454622      NaN    3    19 c    0   0.89 210.92564 54.30806 10303.71  8225.05 4.55 3.63  80.3 -0.431    19.64 21.77 02a57545o0224c  0.157895   False
57545.355107 19.696897      NaN   -9    16 c    0   1.37 210.92564 54.30806  1149.14  8183.65 4.16 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c -0.562500    True
57545.356559 19.569016      NaN  -14    18 c    0   0.85 210.92564 54.30806 10291.83  8187.37 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c -0.777778   False
57545.358980 19.631075      NaN   -4    17 c    0   0.97 210.92564 54.30806 10348.88  8269.37 4.63 3.65  81.3 -0.434    19.64 21.79 02a57545o0251c -0.235294    True
57545.361400 19.051202      NaN   27    20 c    0   0.86 210.92564 54.30806  1162.06  8066.36 4.40 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  1.350000   False
57545.371093 19.401649      NaN   -6    21 c    0   0.88 210.92564 54.30806  1129.41  8127.04 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c -0.285714    True
57545.380784 19.401649      NaN  -37    21 c    0   1.02 210.92564 54.30806 10361.55  8156.71 4.68 3.68  80.3 -0.421    19.41 21.51 02a57545o0296c -1.761905   False
57545.390661 19.454622      NaN  -12    20 c    0   0.95 210.92564 54.30806 10323.99  8216.54 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c -0.600000   False
57549.332077 19.454622      NaN   -8    20 c    0   1.04 210.92564 54.30806  2391.83  9670.25 4.08 3.84 -55.2 -0.425    19.44 21.31 02a57549o0078c -0.400000   False
57549.342782 19.271854      NaN   14    19 c    0   1.29 210.92564 54.30806  2381.67  9630.47 4.17 3.87 -53.8 -0.417    19.44 21.33 02a57549o0100c  0.736842   False
57549.359807 19.454622      NaN  -18    20 c    0   0.93 210.92564 54.30806  2438.02  9705.86 4.12 3.83 -48.5 -0.420    19.46 21.36 02a57549o0135c -0.900000    True
57549.367069 18.786693      NaN   -7    37 c    0   0.35 210.92564 54.30806  2450.68  9589.06 4.12 3.84 -53.7 -0.424    19.47 21.39 02a57549o0150c -0.189189    True
57549.375839 19.367717      NaN    8    19 c    0   0.89 210.92564 54.30806  2419.23  9652.78 4.25 3.89 -49.3 -0.416    19.49 21.47 02a57549o0168c  0.421053   False
57581.293250 19.169763      NaN  -31    26 c    0   0.86 210.92564 54.30806  3722.34  6906.92 4.17 3.83 -76.8 -0.443    19.01 20.64 02a57581o0088c -1.192308    True
57581.304631 18.767304      NaN   35    26 c    0   0.93 210.92564 54.30806  3709.75  6865.56 4.12 3.85 -61.9 -0.443    19.01 20.65 02a57581o0111c  1.346154   False
57581.321240 19.212347      NaN   -1    25 c    0   1.04 210.92564 54.30806  3765.18  6940.04 3.97 3.69 -62.6 -0.451    19.00 20.58 02a57581o0145c -0.040000   False
57581.328019 19.226921      NaN    2    24 c    0   1.04 210.92564 54.30806  3777.55  6822.65 3.92 3.63 -71.9 -0.454    19.00 20.57 02a57581o0159c  0.083333   False
57581.338880 19.026525      NaN    2    29 c    0   0.97 210.92564 54.30806  3744.79  6881.64 3.99 3.68 -65.7 -0.453    18.93 20.48 02a57581o0181c  0.068966   False
57605.257770 18.729535      NaN    6    37 c    0   0.90 210.92564 54.30806  3985.71  6981.59 4.25 3.91  41.6 -0.371    18.85 21.71 02a57605o0052c  0.162162 8388609
57605.266058 18.786693      NaN    0    37 c    0   1.04 210.92564 54.30806  3962.77  6941.02 4.44 4.23  42.0 -0.398    18.84 21.70 02a57605o0066c  0.000000 8388609
57605.277177 18.330283      NaN   49    40 c    0   1.00 210.92564 54.30806  4018.99  7014.47 5.25 5.14  65.0 -0.323    18.70 21.72 02a57605o0085c  1.225000 8388609
57605.290850 18.816441      NaN   39    23 c    0   0.91 210.92564 54.30806  4042.67  6898.39 4.91 4.71 -64.3 -0.355    19.19 21.41 02a57605o0109c  1.695652 8388609
57605.303123 19.510313      NaN   -6    19 c    0   0.86 210.92564 54.30806  3997.35  6954.22 4.12 3.93 -59.8 -0.388    19.35 21.41 02a57605o0133c -0.315789 8388609
57609.251150 19.089302      NaN  -13    28 c    0   0.95 210.92564 54.30806  1279.50 10115.73 4.18 3.78 -54.8 -0.425    19.04 20.57 02a57609o0045c -0.464286   False
57609.257024 18.063866      NaN  105    37 c    0   1.08 210.92564 54.30806 10504.77 10236.22 4.93 3.90  81.8 -0.424    19.23 20.92 02a57609o0055c  2.837838    True
57609.260345 18.867907      NaN   31    24 c    0   1.07 210.92564 54.30806  1255.70 10074.20 4.25 3.88 -54.3 -0.429    19.15 20.84 02a57609o0061c  1.291667   False
57609.274446 19.169763      NaN  -20    26 c    0   1.07 210.92564 54.30806  1310.86 10149.98 4.24 4.00 -55.4 -0.429    19.15 20.86 02a57609o0086c -0.769231   False
57609.275582 18.776955 0.339293  112    35 c    0   1.00 210.92564 54.30806 10490.68 10193.67 5.07 4.03  81.4 -0.386    19.23 20.97 02a57609o0088c  3.200000    True
57609.283416 19.089302      NaN  -18    28 c    0   1.00 210.92564 54.30806  1322.76 10027.11 4.35 3.86 -54.9 -0.413    19.11 20.83 02a57609o0102c -0.642857   False
57609.293767 19.169763      NaN  -14    26 c    0   0.89 210.92564 54.30806  1286.51 10091.39 4.49 3.94 -54.1 -0.404    19.06 20.79 02a57609o0120c -0.538462   False
57746.613969 19.549093      NaN    1    18 c    0   1.00 210.92564 54.30806  9633.11  2384.65 4.06 3.81  81.8 -0.423    19.61 21.65 02a57746o0819c  0.055556   False
57746.625461 19.334813      NaN   10    19 c    0   0.83 210.92564 54.30806  9643.49  2424.27 4.08 3.83  80.9 -0.421    19.61 21.63 02a57746o0841c  0.526316    True
57746.627011 19.102305      NaN   26    19 c    0   0.92 210.92564 54.30806   435.23  2317.46 4.23 4.16 -88.3 -0.369    19.54 21.57 02a57746o0844c  1.368421    True
57746.636855 19.569016      NaN  -10    18 c    0   0.91 210.92564 54.30806  9587.95  2351.40 4.24 4.02  81.0 -0.404    19.60 21.66 02a57746o0863c -0.555556    True
57746.638445 19.115465      NaN   25    19 c    0   0.91 210.92564 54.30806   447.85  2357.65 4.28 4.20  86.2 -0.365    19.56 21.60 02a57746o0866c  1.315789    True
57746.648259 19.569016      NaN  -15    18 c    0   1.00 210.92564 54.30806  9573.93  2469.56 4.17 3.92  78.8 -0.408    19.60 21.66 02a57746o0885c -0.833333    True
57746.650355 19.510313      NaN    6    17 c    0   1.13 210.92564 54.30806   389.09  2275.31 4.15 4.02  85.9 -0.381    19.60 21.59 02a57746o0889c  0.352941   False
57746.659628 19.401649      NaN  -18    21 c    0   0.84 210.92564 54.30806  9610.09  2411.29 4.06 3.80  79.6 -0.417    19.52 21.38 02a57746o0907c -0.857143    True
57746.661195 19.401649      NaN    3    20 c    0   0.94 210.92564 54.30806   378.07  2411.82 4.09 3.95  84.4 -0.381    19.40 21.16 02a57746o0910c  0.150000   False
57746.669931 18.729535      NaN  -15    39 c    0   1.04 210.92564 54.30806   411.38  2336.22 4.32 4.15  80.2 -0.359    18.45 19.40 02a57746o0927c -0.384615   False
57778.570698 19.212347      NaN   24    17 c    0   1.16 210.92564 54.30806  9124.22 10209.17 4.12 3.71 -88.1 -0.431    19.77 21.82 02a57778o0568c  1.411765    True
57778.576629 19.351140      NaN   -8    22 c    0   0.71 210.92564 54.30806  7899.14   408.02 4.00 3.78  15.5 -0.454    19.75 21.80 02a57778o0578c -0.363636   False
57778.584061 19.287255      NaN   16    18 c    0   1.02 210.92564 54.30806  9137.58 10250.65 4.09 3.68 -88.1 -0.432    19.77 21.81 02a57778o0592c  0.888889    True
