         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57441.518643 18.068904      NaN    60.0    50.0   o  0.0    1.15 210.89924 54.31835  8112.87  1770.83 3.99 3.40  14.8 -0.534    18.23 18.89 02a57441o0557o   1.300000        0
57441.526896 18.186107      NaN    29.0    53.0   o  0.0    0.89 210.89924 54.31835  8397.81  2345.62 3.79 3.38  24.3 -0.522    18.25 18.92 02a57441o0573o   0.641509        0
57441.531928 18.623526      NaN   -12.0    43.0   o  0.0    1.08 210.89924 54.31835  7273.64  2964.68 3.57 3.38  12.2 -0.491    18.26 18.93 02a57441o0583o  -0.162791        0
57441.552276 18.180496      NaN    54.0    45.0   o  0.0    1.07 210.89924 54.31835  7275.46  2855.58 3.65 3.39  15.3 -0.483    18.27 18.94 02a57441o0622o   1.311111        0
57466.479054 18.136622      NaN    71.0    42.0   o  0.0    0.83 210.89924 54.31835  8186.54  1456.25 4.59 3.60  16.2 -0.540    18.73 19.97 02a57466o0545o   1.809524        0
57466.500550 18.445391      NaN    39.0    36.0   o  0.0    1.07 210.89924 54.31835  8485.27  2030.50 4.15 3.60  25.6 -0.544    18.77 20.03 02a57466o0585o   1.222222   524288
57466.521973 18.847027      NaN    10.0    30.0   o  0.0    1.14 210.89924 54.31835  7370.74  2656.57 3.85 3.39  11.5 -0.515    18.81 20.05 02a57466o0625o   0.500000   524288
57466.532670 19.051202      NaN    -5.0    29.0   o  0.0    1.08 210.89924 54.31835  7276.38  2854.42 3.85 3.42   9.7 -0.514    18.82 20.07 02a57466o0647o   0.000000        0
57470.480982 16.427488      NaN  -255.0   325.0   o  0.0    1.10 210.89924 54.31835  7265.93  2848.38 3.95 3.64  10.4 -0.488    16.46 16.46 02a57470o0553o  -0.769231 12584962
57474.485989 18.729535      NaN   -29.0    39.0   o  0.0    1.14 210.89924 54.31835  8140.99  1682.81 4.25 3.41  13.2 -0.525    18.71 19.95 02a57474o0492o  -0.615385   524288
57474.506959 18.197417      NaN    78.0    36.0   o  0.0    1.04 210.89924 54.31835  2206.67  8433.78 4.02 3.43 -65.5 -0.490    18.70 19.95 02a57474o0529o   2.305556        0
57474.528572 19.128787      NaN    -9.0    27.0   o  0.0    1.38 210.89924 54.31835  3321.16  7813.27 3.70 3.23 -71.3 -0.491    18.72 19.91 02a57474o0566o  -0.148148        0
57474.543901 18.748255      NaN    20.0    30.0   o  0.0    1.03 210.89924 54.31835  3345.42  7838.08 3.81 3.26 -70.0 -0.508    18.69 19.92 02a57474o0592o   0.833333   524288
